Drawing,Date,1st ball,2nd ball,3rd ball,4th ball,5th ball,6th ball
1,1996-03-11,41,5,4,52,30,33
2,1996-03-18,9,39,37,49,43,41
3,1996-03-25,36,30,10,11,29,47
4,1996-04-01,6,59,42,27,1,5
5,1996-04-08,1,19,46,6,16,2
6,1996-04-15,19,40,7,13,22,47
7,1996-04-22,56,38,21,20,3,5
8,1996-04-29,53,17,38,4,47,37
9,1996-05-06,55,43,56,54,8,60
10,1996-05-13,25,4,18,57,21,38
11,1996-05-20,25,15,58,37,59,38
12,1996-05-27,20,27,43,16,19,4
13,1996-06-03,47,32,50,54,18,56
14,1996-06-10,16,2,27,47,23,53
15,1996-06-17,60,12,33,52,35,51
16,1996-06-24,60,58,49,32,20,34
17,1996-07-01,10,20,6,19,51,13
18,1996-07-08,37,36,56,27,42,23
19,1996-07-15,5,25,12,10,60,24
20,1996-07-22,25,28,30,33,51,11
21,1996-07-29,49,46,6,53,33,36
22,1996-08-05,9,38,56,1,31,46
23,1996-08-12,17,52,51,59,39,37
24,1996-08-19,1,8,14,28,33,43
25,1996-08-25,56,50,55,54,24,43
26,1996-09-01,50,53,57,10,58,22
27,1996-09-08,44,33,13,51,17,20
28,1996-09-15,60,6,22,3,24,54
29,1996-09-22,14,56,58,8,43,3
30,1996-09-29,38,50,7,29,15,14
31,1996-10-06,56,19,28,48,17,45
32,1996-10-13,43,33,14,36,5,44
33,1996-10-20,5,33,49,17,42,39
34,1996-10-27,15,13,57,53,40,17
35,1996-11-03,21,57,16,23,54,4
36,1996-11-10,13,3,51,17,29,25
37,1996-11-17,22,6,7,52,38,60
38,1996-11-24,55,42,10,43,45,54
39,1996-12-01,16,37,45,52,56,12
40,1996-12-08,3,12,46,5,47,8
41,1996-12-15,38,26,35,39,12,47
42,1996-12-22,24,36,19,33,7,11
43,1996-12-29,2,58,25,6,26,17
44,1997-01-05,47,38,18,14,29,44
45,1997-01-12,30,7,37,55,44,53
46,1997-01-19,32,46,1,60,24,23
47,1997-01-26,35,17,3,48,25,56
48,1997-02-02,47,5,34,28,2,50
49,1997-02-09,33,7,43,35,13,55
50,1997-02-16,57,44,21,16,58,6
51,1997-02-23,23,24,42,25,17,47
52,1997-03-02,58,15,59,30,38,46
53,1997-03-09,42,13,3,46,38,16
54,1997-03-16,5,21,9,56,18,36
55,1997-03-23,29,2,14,38,23,52
56,1997-03-30,51,35,59,7,20,2
57,1997-04-06,27,17,16,34,7,59
58,1997-04-13,30,49,27,37,12,44
59,1997-04-20,28,13,34,2,8,54
60,1997-04-27,38,14,21,15,3,20
61,1997-05-04,59,8,18,29,42,44
62,1997-05-11,52,13,6,24,8,31
63,1997-05-18,26,9,41,49,25,40
64,1997-05-25,8,54,50,60,23,12
65,1997-06-01,20,1,5,32,25,34
66,1997-06-08,15,26,12,33,48,13
67,1997-06-15,47,14,27,52,17,12
68,1997-06-22,53,13,3,1,12,59
69,1997-06-29,56,58,34,53,25,45
70,1997-07-06,40,17,23,43,27,58
71,1997-07-13,53,16,45,43,33,27
72,1997-07-20,19,48,43,1,34,44
73,1997-07-27,57,25,45,28,51,26
74,1997-08-03,2,24,34,50,38,37
75,1997-08-10,36,49,37,35,24,21
76,1997-08-17,33,18,23,8,17,53
77,1997-08-24,29,54,40,57,49,21
78,1997-08-31,22,32,46,12,25,31
